eventId,title,category,importance,rarity,optionsCount,timesEncountered,uniquePartiesEncountered,avgDecisionIndex,avgPollDelta,dominantChoiceId,dominantChoiceShare
alliance_former_rival,Un ancien rival socialiste revient,alliance,major,common,3,5,1,19,-1.14,former_rival_industry_role,0.6
party_horizons_identity,Horizons doit sortir de l’attente,party,major,common,3,5,1,23.2,0.328,horizons_identity_dual_agenda,0.8
party_rn_identity,Le RN arbitre normalisation et mobilisation,party,major,common,3,5,1,19.8,1.898,rn_identity_core_themes,0.6
party_reconquete_electorate,Les entrepreneurs attendent une ligne économique,party,major,common,2,5,1,19.6,0.628,reconquete_electorate_norms_moratorium,0.8
party_reconquete_runoff,La qualification bouleverse la stratégie,party,decisive,common,2,5,1,26.8,0.074,reconquete_runoff_right_contract,0.6
rare_national_union,Une coalition de crise est proposée,rare,decisive,legendary,3,4,2,19.25,0.113,national_union_join,1
party_reconquete_identity,Reconquête choisit influence ou qualification,party,major,common,3,4,1,21.5,-0.557,reconquete_identity_dual_target,0.5
debate_fact_card,La fiche rouge de la rédaction,debate,major,common,4,3,2,19.67,0.437,fact_card_attack,0.667
alliance_udr_autonomy,Un allié du RN revendique sa marque,alliance,major,common,3,3,1,21,0.223,ally_autonomy_accept,0.667
rare_parrot_quote,Un perroquet répète votre slogan,rare,routine,legendary,3,2,2,21,0.125,parrot_return_policy,1
campaign_rural_desert,Trois villages sans médecin,campaign,major,common,3,2,1,10,0.08,rural_installation_rule,0.5
debate_security_round,Trois minutes sur la sécurité,debate,decisive,common,4,1,1,17,1.81,security_round_prevention,1
party_rn_dissidence,Un courant identitaire prépare sa candidature,party,decisive,rare,2,1,1,23,-2.27,rn_dissidence_compete,1
custom_collective_arbitration,La codirection se partage sur la stratégie médiatique,internal,,common,2,1,1,13,2.99,custom_collective_members_decide,1
custom_officials_support,Les élus parrains veulent des investitures garanties,alliance,,common,2,1,1,20,1.81,custom_officials_open_commission,1
